sottoinchiesta	manufalcetti	0.6504927975739196
borghi_claudio	AlbertoBagnai	0.6367393800229622
SenatoriPD	Deputatipd	0.6117696867061811
fattoquotidiano	marcotravaglio	0.5559382574307947
LaStampa	Corriere	0.5484927022234347
ksnt63	ManuelaBellipan	0.5430730478589421
sole24ore	Corriere	0.5288449016799063
borghi_claudio	pbecchi	0.5227629513343799
meb	graziano_delrio	0.5200522290617422
SkyTG24	Corriere	0.5189965903555772
fdragoni	LucianoBarraCar	0.5162085976039464
sole24ore	LaStampa	0.5151763740771124
AlessiaMorani	AnnaAscani	0.5098712446351932
byoblu	AlbertoBagnai	0.5062139369729249
vittoriozucconi	CarloCalenda	0.5048120107789041
Agenzia_Ansa	Corriere	0.5010546051089758
AlbertoBagnai	pbecchi	0.5004562043795621
francescatotolo	borghi_claudio	0.4988323213451658
byoblu	pbecchi	0.495940617026212
Agenzia_Ansa	SkyTG24	0.4948198198198198
RaiNews	LaStampa	0.4942528735632184
byoblu	borghi_claudio	0.4929607508532423
maumartina	graziano_delrio	0.49194915254237287
francescatotolo	ladyonorato	0.4918355855855856
GavinoSanna1967	durezzadelviver	0.49095295536791317
RobertoBurioni	CarloCalenda	0.48933649289099523
GavinoSanna1967	fdragoni	0.48761835396941006
RaiNews	Corriere	0.4844102428021759
AlbertoBagnai	LucianoBarraCar	0.4838115293498289
RaiNews	SkyTG24	0.480370982086139
sole24ore	Agenzia_Ansa	0.479646017699115
Agenzia_Ansa	LaStampa	0.4794253713172632
IlariaBifarini	ladyonorato	0.4793233082706767
RaiNews	Agenzia_Ansa	0.4789045151739452
DiegoFusaro	byoblu	0.4786610878661088
DiegoFusaro	pbecchi	0.47823275862068965
claudiocerasa	ilfoglio_it	0.47580174927113705
borghi_claudio	LucianoBarraCar	0.47552976791120083
GavinoSanna1967	LucianoBarraCar	0.47488421802636266
SkyTG24	LaStampa	0.4746037688755772
marattin	CarloCalenda	0.4745970836531082
DiegoFusaro	borghi_claudio	0.4738412572110603
borghi_claudio	ladyonorato	0.4738213693437574
meb	mariannamadia	0.47350354001287276
francescatotolo	LaVeritaWeb	0.4726636143280366
FedeAngeli	jacopo_iacoboni	0.4726576105886451
lameduck1960	Yi_Benevolence	0.4724162011173184
durezzadelviver	LucianoBarraCar	0.47206599175103114
mariannamadia	graziano_delrio	0.4718866171003718
IlariaBifarini	DiegoFusaro	0.47186813186813187
francescatotolo	AlbertoBagnai	0.4716623191842542
sole24ore	SkyTG24	0.4710703953712633
fdragoni	durezzadelviver	0.47074468085106386
AlvisiConci	ottogattotto	0.46792301523656776
sole24ore	RaiNews	0.46707874227358237
lameduck1960	LucianoBarraCar	0.4665257223396758
jacopo_iacoboni	CarloCalenda	0.4656254561377901
francescatotolo	IlariaBifarini	0.46420323325635104
Acidelius	Yi_Benevolence	0.46408250355618774
IlariaBifarini	byoblu	0.46345437616387336
francescatotolo	pbecchi	0.46334164588528676
LucianoBarraCar	vocidallestero	0.46332046332046334
DiegoFusaro	AlbertoBagnai	0.4631022565562106
soemiade	ottogattotto	0.4620719549198093
sarettaa7	SoniaGrotto	0.4618055555555556
cris_cersei	Yi_Benevolence	0.4594882729211087
durezzadelviver	vocidallestero	0.4587315377932233
chiossi_manuela	SoniaGrotto	0.4568998840355624
IlariaBifarini	pbecchi	0.45685522531160117
TgLa7	La7tv	0.45552507836990597
BarbaraRaval	SoniaGrotto	0.45541890853189854
ManuelaBellipan	AlvisiConci	0.4548919949174079
ladyonorato	pbecchi	0.4548486403283735
valy_s	antonio_bordin	0.4546325878594249
FedeAngeli	vittoriozucconi	0.45425867507886436
ricpuglisi	marattin	0.45414086687306504
claudiocerasa	jacopo_iacoboni	0.4534674811354653
FedeAngeli	CarloCalenda	0.4534546959040132
ManuelaBellipan	SarahConnor_18	0.45296477931341955
ladyonorato	AlbertoBagnai	0.45250181290790426
byoblu	LucianoBarraCar	0.4521486949644081
ricpuglisi	jacopo_iacoboni	0.45160701241782325
sabrimaggioni	petra_romano	0.4515209125475285
emanuelefiano	AlessiaMorani	0.45137023105857066
sabrimaggioni	SoniaGrotto	0.4510230735742273
HuffPostItalia	LaStampa	0.45093622413064904
andreasso1951	chiossi_manuela	0.44998315931289995
IlariaBifarini	borghi_claudio	0.44969378827646544
icebergfinanza	vocidallestero	0.44904761904761903
ksnt63	SarahConnor_18	0.44879786286731965
lameduck1960	GavinoSanna1967	0.4473394495412844
AnnaAscani	marattin	0.44730733519034355
ricpuglisi	CarloCalenda	0.447201384881708
lucianocapone	Phastidio	0.4466494845360825
borghi_claudio	LaVeritaWeb	0.4460285132382892
andreasso1951	SoniaGrotto	0.44599659284497445
francescatotolo	GiuseppePalma78	0.4458445844584458
lameduck1960	durezzadelviver	0.44573643410852715
HuffPostItalia	Corriere	0.4456751054852321
lameduck1960	fdragoni	0.44510907811400424
AlbertoBagnai	fdragoni	0.4449909396841833
jacopo_iacoboni	marattin	0.4449779143460726
vittoriozucconi	jacopo_iacoboni	0.4447940074906367
lameduck1960	cris_cersei	0.44473585612588984
claudiocerasa	CarloCalenda	0.44461800624822495
Agenzia_Ansa	Adnkronos	0.44454762536481823
IlariaBifarini	AlbertoBagnai	0.4440693225298222
GiuseppePalma78	fdragoni	0.4440619621342513
cris_cersei	Acidelius	0.44350499615680244
sarettaa7	BarbaraRaval	0.44286312264545835
ladyonorato	fdragoni	0.4424560320888615
borghi_claudio	fdragoni	0.4420109507217521
lameduck1960	Acidelius	0.44199925400969786
TeresaBellanova	AnnaAscani	0.4419615145872129
fdragoni	vocidallestero	0.44152836742570434
emanuelefiano	AnnaAscani	0.44072232399895317
francescatotolo	fdragoni	0.44056771141336487
RaiNews	Adnkronos	0.4396457977318627
francescatotolo	Yi_Benevolence	0.43946836174516035
ricpuglisi	Phastidio	0.4364131573433899
francescatotolo	byoblu	0.4356248523505788
ricpuglisi	lucianocapone	0.43558413719185424
GiuseppePalma78	pbecchi	0.4355641592920354
IlariaBifarini	GiuseppePalma78	0.4348074179743224
TgLa7	RaiNews	0.43459526008002464
vittoriozucconi	eziomauro	0.43457237836204293
GiuseppePalma78	ladyonorato	0.4345127250155183
sabrimaggioni	chiossi_manuela	0.4344885883347422
vittoriozucconi	claudiocerasa	0.434061904063371
EugenioCardi	ottogattotto	0.4340083798882682
meb	maumartina	0.4338444065871664
sole24ore	HuffPostItalia	0.43370424989945033
GiuseppePalma78	LucianoBarraCar	0.433389544688027
laura_ceruti	ottogattotto	0.43264367816091953
AlvisiConci	mariobianchi18	0.4323671497584541
byoblu	fdragoni	0.4319852941176471
soemiade	AlvisiConci	0.4319478402607987
DiegoFusaro	ladyonorato	0.4318233553380378
lameduck1960	francescatotolo	0.4314674735249622
fattoquotidiano	Agenzia_Ansa	0.43125469571750563
RobertoBurioni	vittoriozucconi	0.4311074535621914
markorusso69	Acidelius	0.431013916500994
AlbertoBagnai	LaVeritaWeb	0.43075497915701716
francescatotolo	DiegoFusaro	0.43074547860608736
Yi_Benevolence	fdragoni	0.4307288246881156
GavinoSanna1967	vocidallestero	0.4299439551641313
francescatotolo	LucianoBarraCar	0.4297736506094022
petra_romano	chiossi_manuela	0.42974190905366655
lucabattanta	Yi_Benevolence	0.4297091412742382
laura_ceruti	AlvisiConci	0.42913558578323824
GiuseppePalma78	Yi_Benevolence	0.4288084965151012
RaiNews	HuffPostItalia	0.42865192280602904
MatteoRichetti	AnnaAscani	0.42832419959619267
LucianoBarraCar	pbecchi	0.42830188679245285
petra_romano	SoniaGrotto	0.4281549354435652
Yi_Benevolence	ladyonorato	0.4279319606087735
pbecchi	LaVeritaWeb	0.4278728606356968
francescatotolo	PatriziaRametta	0.42746036494166917
PatriziaRametta	Yi_Benevolence	0.4274220583305397
byoblu	ladyonorato	0.4268381460810483
fattoquotidiano	SkyTG24	0.4265803336259877
soemiade	laura_ceruti	0.4260326609029779
markorusso69	Yi_Benevolence	0.4259927797833935
ladyonorato	LaVeritaWeb	0.4257506086015688
PatriziaRametta	BarbaraRaval	0.4254322766570605
graziano_delrio	CarloCalenda	0.42485924642702466
IlariaBifarini	fdragoni	0.42432735426008966
TeresaBellanova	AndreaMarcucci	0.42405582922824303
francescatotolo	Acidelius	0.4231714812538414
meb	CarloCalenda	0.4227297592997812
sarettaa7	sabrimaggioni	0.4225285171102662
fattoquotidiano	Corriere	0.4224920562868815
AlessiaMorani	TeresaBellanova	0.4223544145272386
ladyonorato	LucianoBarraCar	0.4221286831028262
IlariaBifarini	Yi_Benevolence	0.42207614352232264
PatriziaRametta	ladyonorato	0.4212488350419385
petra_romano	andreasso1951	0.4211469534050179
LaStampa	Adnkronos	0.4207592648388069
mariolavia	AndreaRomano9	0.420753064798599
